Wilayah,Tanggal,Suhu_Rata2_C,Curah_Hujan_mm,Radiasi_Matahari_MJm2,Kecepatan_Angin_Max_kmh
Padang,2023-05-25,26.7,6.0,20.06,8.7
Padang,2023-05-26,26.5,7.4,17.2,8.5
Padang,2023-05-27,26.1,8.2,16.96,8.7
Padang,2023-05-28,25.7,10.6,15.24,8.4
Padang,2023-05-29,25.6,17.5,11.92,5.5
Padang,2023-05-30,26.0,9.9,16.16,9.3
Padang,2023-05-31,26.4,3.3,18.0,6.9
Padang,2023-06-01,26.2,0.4,13.16,6.3
Padang,2023-06-02,26.9,6.7,19.57,8.3
Padang,2023-06-03,26.2,5.8,16.53,10.2
Padang,2023-06-04,26.1,6.7,14.71,11.5
Padang,2023-06-05,26.6,6.3,19.75,7.7
Padang,2023-06-06,26.3,3.0,18.49,6.5
Padang,2023-06-07,26.8,1.0,16.91,10.1
Padang,2023-06-08,26.8,0.0,18.57,8.3
Padang,2023-06-09,26.2,13.0,15.69,7.1
Padang,2023-06-10,26.7,1.0,18.6,8.7
Padang,2023-06-11,26.5,6.3,18.46,9.2
Padang,2023-06-12,26.7,9.6,17.25,11.3
Padang,2023-06-13,26.5,3.0,16.69,8.6
Padang,2023-06-14,26.6,12.2,18.54,8.6
Padang,2023-06-15,26.5,5.7,18.28,18.0
Padang,2023-06-16,28.0,0.0,22.56,9.7
Padang,2023-06-17,26.5,16.3,18.43,11.4
Padang,2023-06-18,27.2,0.0,21.05,8.2
Padang,2023-06-19,27.3,0.6,21.63,9.1
Padang,2023-06-20,26.8,1.4,18.62,9.5
Padang,2023-06-21,27.0,4.3,18.66,9.7
Padang,2023-06-22,26.1,35.1,17.25,8.4
Padang,2023-06-23,25.6,13.1,13.87,6.2
Padang,2023-06-24,26.2,1.8,19.57,8.3
Padang,2023-06-25,25.6,15.4,16.93,6.5
Padang,2023-06-26,25.7,3.1,12.84,6.4
Padang,2023-06-27,26.0,4.1,18.08,7.6
Padang,2023-06-28,26.1,1.6,15.26,7.6
Padang,2023-06-29,26.0,2.5,17.6,6.8
Padang,2023-06-30,25.0,33.8,10.75,14.3
Padang,2023-07-01,26.1,11.7,16.91,14.6
Padang,2023-07-02,26.5,0.1,17.9,6.2
Padang,2023-07-03,26.4,7.6,16.3,9.1
Padang,2023-07-04,26.0,21.1,18.59,9.4
Padang,2023-07-05,24.8,15.2,11.53,11.0
Padang,2023-07-06,25.9,2.9,16.44,9.0
Padang,2023-07-07,25.9,6.2,18.78,11.4
Padang,2023-07-08,26.1,13.8,16.72,10.7
Padang,2023-07-09,25.8,1.0,16.91,8.8
Padang,2023-07-10,24.9,38.8,7.74,7.8
Padang,2023-07-11,26.3,1.3,17.65,9.9
Padang,2023-07-12,25.7,18.7,14.29,11.2
Padang,2023-07-13,25.2,5.6,16.88,8.4
Padang,2023-07-14,24.1,43.4,4.99,15.6
Padang,2023-07-15,25.9,0.0,20.03,8.9
Padang,2023-07-16,26.5,0.3,19.08,7.9
Padang,2023-07-17,25.5,13.3,14.13,7.2
Padang,2023-07-18,25.4,7.2,12.63,7.0
Padang,2023-07-19,25.6,4.7,13.27,8.9
Padang,2023-07-20,25.3,18.4,10.22,12.6
Padang,2023-07-21,25.9,1.1,14.71,6.3
Padang,2023-07-22,26.3,0.4,19.79,7.9
Padang,2023-07-23,25.4,15.7,15.63,13.9
Padang,2023-07-24,26.8,0.7,15.52,8.4
Padang,2023-07-25,27.2,0.1,21.69,7.6
Padang,2023-07-26,26.7,0.0,22.13,6.6
Padang,2023-07-27,26.7,0.1,21.36,7.6
Padang,2023-07-28,26.8,0.3,20.98,9.3
Padang,2023-07-29,26.7,1.7,19.85,9.2
Padang,2023-07-30,26.5,1.5,19.4,9.4
Padang,2023-07-31,26.1,12.8,19.3,11.5
Padang,2023-08-01,25.1,20.5,15.23,17.4
Padang,2023-08-02,26.6,0.7,20.31,7.0
Padang,2023-08-03,26.6,0.0,18.5,8.6
Padang,2023-08-04,26.4,16.7,18.17,10.5
Padang,2023-08-05,25.8,15.7,18.84,10.5
Padang,2023-08-06,25.6,11.0,19.1,9.1
Padang,2023-08-07,25.8,1.9,19.3,8.0
Padang,2023-08-08,25.2,6.5,17.27,11.3
Padang,2023-08-09,25.3,34.2,18.71,8.8
Padang,2023-08-10,25.0,15.4,17.34,9.4
Padang,2023-08-11,25.9,1.9,20.33,11.1
Padang,2023-08-12,25.7,9.4,16.78,8.1
Padang,2023-08-13,25.4,14.1,15.5,10.1
Padang,2023-08-14,24.8,17.8,10.38,9.7
Padang,2023-08-15,25.7,1.6,19.41,7.1
Padang,2023-08-16,25.8,13.0,15.64,7.3
Padang,2023-08-17,25.2,36.4,15.53,11.6
Padang,2023-08-18,25.6,18.4,18.14,10.6
Padang,2023-08-19,25.1,9.2,11.83,11.7
Padang,2023-08-20,25.5,7.5,17.43,7.1
Padang,2023-08-21,25.7,10.9,11.81,7.3
Padang,2023-08-22,25.7,6.0,19.53,7.9
Padang,2023-08-23,25.9,5.9,20.35,8.8
Padang,2023-08-24,25.7,5.9,20.0,10.1
Padang,2023-08-25,25.1,20.4,13.96,8.8
Padang,2023-08-26,25.2,109.2,18.6,7.7
Padang,2023-08-27,26.0,15.2,19.1,10.3
Padang,2023-08-28,25.2,21.5,17.15,10.1
Padang,2023-08-29,25.3,11.9,15.33,7.7
Padang,2023-08-30,26.0,4.6,19.81,8.8
Padang,2023-08-31,26.2,13.8,18.18,9.4
Padang,2023-09-01,26.1,0.4,23.88,17.1
Padang,2023-09-02,25.6,0.0,21.36,13.9
Padang,2023-09-03,26.3,1.5,20.4,14.3
Padang,2023-09-04,26.2,3.3,19.8,10.2
Padang,2023-09-05,25.4,15.8,15.88,9.8
Padang,2023-09-06,24.9,5.8,14.97,9.5
Padang,2023-09-07,26.5,0.0,20.11,12.8
Padang,2023-09-08,26.1,21.3,18.55,9.1
Padang,2023-09-09,25.2,13.1,16.02,10.4
Padang,2023-09-10,25.6,5.5,20.35,15.5
Padang,2023-09-11,25.5,0.1,21.14,14.7
Padang,2023-09-12,25.9,4.6,19.81,11.0
Padang,2023-09-13,25.8,2.2,22.14,11.3
Padang,2023-09-14,26.1,0.7,20.71,13.5
Padang,2023-09-15,26.0,3.4,22.56,15.0
Padang,2023-09-16,26.3,7.2,23.24,13.0
Padang,2023-09-17,25.7,8.1,18.15,7.2
Padang,2023-09-18,26.3,7.3,18.17,9.2
Padang,2023-09-19,25.9,9.7,19.11,8.9
Padang,2023-09-20,25.3,15.9,16.67,10.5
Padang,2023-09-21,25.4,4.0,19.15,8.4
Padang,2023-09-22,25.8,3.2,19.52,12.0
Padang,2023-09-23,25.7,0.0,23.96,17.1
Padang,2023-09-24,25.2,0.2,23.58,12.5
Padang,2023-09-25,25.1,0.3,23.06,10.2
Padang,2023-09-26,25.0,1.0,23.23,9.4
Padang,2023-09-27,25.3,2.0,21.12,8.8
Padang,2023-09-28,25.5,0.4,22.74,13.5
Padang,2023-09-29,25.6,15.1,21.11,11.2
Padang,2023-09-30,25.7,0.1,20.03,14.2
Padang,2023-10-01,26.1,3.9,19.53,12.2
Padang,2023-10-02,26.2,1.1,23.27,16.5
Padang,2023-10-03,25.4,0.0,24.22,13.7
Padang,2023-10-04,25.4,1.3,21.78,12.2
Padang,2023-10-05,26.3,5.5,18.9,10.7
Padang,2023-10-06,26.3,8.8,17.63,11.8
Padang,2023-10-07,26.0,7.5,21.29,10.7
Padang,2023-10-08,25.3,5.6,21.25,6.8
Padang,2023-10-09,25.5,7.2,21.49,11.4
Padang,2023-10-10,25.8,11.8,19.18,8.9
Padang,2023-10-11,25.6,7.6,19.76,8.5
Padang,2023-10-12,25.5,26.7,18.11,7.2
Padang,2023-10-13,25.6,22.2,19.47,8.8
Padang,2023-10-14,25.5,9.1,20.55,7.2
Padang,2023-10-15,25.9,7.2,19.77,10.9
Padang,2023-10-16,25.5,23.7,18.44,9.9
Padang,2023-10-17,25.4,4.2,22.71,8.4
Padang,2023-10-18,25.6,1.1,20.55,9.0
Padang,2023-10-19,25.3,8.0,14.49,7.9
Padang,2023-10-20,25.5,6.6,19.8,9.7
Padang,2023-10-21,25.7,10.3,15.48,7.6
Padang,2023-10-22,25.2,19.9,12.51,9.2
Padang,2023-10-23,25.4,4.1,19.4,6.6
Padang,2023-10-24,25.0,20.4,15.12,6.5
Padang,2023-10-25,24.6,14.4,10.66,6.2
Padang,2023-10-26,25.4,18.9,14.9,6.5
Padang,2023-10-27,25.4,12.0,19.71,6.5
Padang,2023-10-28,25.5,8.3,22.9,10.8
Padang,2023-10-29,25.3,36.3,17.09,7.2
Padang,2023-10-30,25.2,4.5,19.56,6.2
Padang,2023-10-31,25.6,8.0,19.74,9.3
Padang,2023-11-01,25.7,4.5,16.15,7.9
Padang,2023-11-02,25.2,4.3,16.17,6.1
Padang,2023-11-03,24.9,8.7,18.22,7.1
Padang,2023-11-04,25.3,17.8,18.95,8.4
Padang,2023-11-05,25.8,18.3,17.73,8.8
Padang,2023-11-06,25.6,5.6,16.51,6.1
Padang,2023-11-07,25.7,15.5,17.66,7.6
Padang,2023-11-08,26.2,12.8,15.34,7.3
Padang,2023-11-09,25.5,3.1,13.94,5.5
Padang,2023-11-10,25.7,10.9,18.99,7.2
Padang,2023-11-11,25.9,2.7,20.32,8.4
Padang,2023-11-12,26.1,3.9,21.87,9.2
Padang,2023-11-13,25.9,11.2,15.91,8.0
Padang,2023-11-14,25.9,2.7,17.28,9.7
Padang,2023-11-15,26.1,3.1,19.96,6.8
Padang,2023-11-16,26.0,16.5,16.82,7.6
Padang,2023-11-17,26.0,7.4,17.93,9.1
Padang,2023-11-18,26.1,2.1,19.67,10.6
Padang,2023-11-19,26.0,5.4,19.23,9.5
Padang,2023-11-20,26.6,5.2,19.05,9.4
Padang,2023-11-21,26.0,1.3,18.8,8.9
Padang,2023-11-22,26.0,0.6,22.1,7.3
Padang,2023-11-23,26.2,1.3,13.36,6.2
Padang,2023-11-24,26.2,4.8,19.21,8.6
Padang,2023-11-25,26.5,0.4,17.37,9.7
Padang,2023-11-26,26.0,5.0,17.32,6.8
Padang,2023-11-27,26.2,8.3,20.01,7.0
Padang,2023-11-28,26.2,2.2,23.36,8.3
Padang,2023-11-29,26.3,7.7,21.44,9.1
Padang,2023-11-30,26.1,1.2,16.61,7.1
Padang,2023-12-01,26.0,14.9,17.85,9.7
Padang,2023-12-02,25.9,15.1,19.13,7.4
Padang,2023-12-03,25.6,7.3,16.4,9.7
Padang,2023-12-04,26.3,3.0,17.92,9.3
Padang,2023-12-05,26.2,29.3,17.53,8.3
Padang,2023-12-06,25.9,11.4,12.43,7.8
Padang,2023-12-07,26.2,4.0,17.12,8.0
Padang,2023-12-08,26.5,1.1,17.92,8.7
Padang,2023-12-09,26.5,2.7,18.42,7.8
Padang,2023-12-10,26.3,3.5,17.5,8.0
Padang,2023-12-11,26.6,0.6,20.65,8.6
Padang,2023-12-12,26.0,0.6,18.73,8.7
Padang,2023-12-13,26.2,6.0,20.34,8.8
Padang,2023-12-14,26.1,3.9,18.45,6.1
Padang,2023-12-15,26.6,0.7,20.43,7.6
Padang,2023-12-16,26.6,1.2,19.25,7.3
Padang,2023-12-17,26.5,12.4,17.87,7.6
Padang,2023-12-18,25.7,13.2,12.64,6.8
Padang,2023-12-19,25.9,19.4,10.9,5.5
Padang,2023-12-20,25.8,8.9,18.91,9.5
Padang,2023-12-21,26.1,7.6,14.11,7.8
Padang,2023-12-22,26.6,9.5,20.17,9.2
Padang,2023-12-23,26.4,11.2,18.41,8.6
Padang,2023-12-24,26.4,13.9,17.23,7.1
Padang,2023-12-25,26.0,82.9,15.72,6.5
Padang,2023-12-26,26.6,10.9,19.22,9.5
Padang,2023-12-27,26.8,19.3,14.68,6.2
Padang,2023-12-28,26.9,12.0,15.87,8.4
Padang,2023-12-29,26.3,22.2,15.24,8.5
Padang,2023-12-30,25.7,39.8,11.68,8.4
Padang,2023-12-31,26.0,40.6,16.28,10.3
Padang,2024-01-01,26.3,20.4,20.62,8.4
Padang,2024-01-02,26.0,20.5,18.18,8.8
Padang,2024-01-03,25.9,13.8,16.09,7.3
Padang,2024-01-04,26.5,7.1,19.93,7.6
Padang,2024-01-05,26.3,24.6,21.33,8.6
Padang,2024-01-06,25.4,10.0,9.11,6.3
Padang,2024-01-07,26.4,0.8,16.85,7.3
Padang,2024-01-08,26.2,10.5,19.24,8.8
Padang,2024-01-09,25.4,16.9,18.26,9.1
Padang,2024-01-10,25.4,12.4,12.73,12.6
Padang,2024-01-11,25.4,12.2,12.7,9.4
Padang,2024-01-12,25.9,21.2,15.2,7.8
Padang,2024-01-13,26.7,17.7,15.93,9.3
Padang,2024-01-14,26.0,17.0,15.03,10.2
Padang,2024-01-15,25.8,9.9,16.71,9.7
Padang,2024-01-16,26.5,22.4,16.9,11.5
Padang,2024-01-17,25.8,4.6,11.5,8.8
Padang,2024-01-18,25.9,9.1,17.64,6.9
Padang,2024-01-19,25.7,47.5,16.1,10.7
Padang,2024-01-20,25.6,14.0,14.79,7.4
Padang,2024-01-21,26.6,0.9,20.59,8.0
Padang,2024-01-22,26.4,2.6,18.18,8.1
Padang,2024-01-23,26.4,4.9,18.41,9.2
Padang,2024-01-24,26.8,7.9,20.54,9.0
Padang,2024-01-25,27.0,0.9,21.45,10.3
Padang,2024-01-26,27.8,6.7,19.86,14.5
Padang,2024-01-27,26.8,29.3,17.76,8.4
Padang,2024-01-28,26.4,11.5,20.97,11.1
Padang,2024-01-29,26.2,5.0,19.41,10.0
Padang,2024-01-30,25.9,2.7,20.6,10.8
Padang,2024-01-31,26.5,11.5,17.16,8.9
Padang,2024-02-01,26.1,8.3,16.63,9.2
Padang,2024-02-02,25.3,21.6,14.54,8.9
Padang,2024-02-03,25.6,10.1,13.18,7.3
Padang,2024-02-04,27.1,0.0,19.26,7.1
Padang,2024-02-05,27.0,2.1,17.59,9.2
Padang,2024-02-06,26.3,8.0,18.76,6.1
Padang,2024-02-07,26.5,0.8,17.09,6.9
Padang,2024-02-08,26.5,2.9,21.37,8.0
Padang,2024-02-09,26.6,7.3,17.81,8.3
Padang,2024-02-10,25.8,16.8,14.39,6.1
Padang,2024-02-11,27.1,2.4,21.2,8.4
Padang,2024-02-12,27.8,0.0,21.42,8.6
Padang,2024-02-13,28.1,3.0,19.61,9.1
Padang,2024-02-14,28.0,9.9,18.65,10.0
Padang,2024-02-15,26.7,45.2,14.2,8.4
Padang,2024-02-16,27.0,13.8,16.19,9.7
Padang,2024-02-17,27.0,5.7,15.26,8.3
Padang,2024-02-18,26.9,10.7,18.71,9.4
Padang,2024-02-19,26.2,17.0,15.23,7.6
Padang,2024-02-20,26.0,19.0,16.35,9.7
Padang,2024-02-21,26.2,10.4,13.29,7.6
Padang,2024-02-22,27.2,0.4,19.35,8.1
Padang,2024-02-23,27.1,4.0,19.29,8.7
Padang,2024-02-24,26.5,17.2,17.02,9.1
Padang,2024-02-25,27.0,1.5,17.16,8.8
Padang,2024-02-26,28.4,2.2,21.67,9.8
Padang,2024-02-27,27.3,7.2,20.72,10.3
Padang,2024-02-28,27.6,1.4,21.09,12.2
Padang,2024-02-29,27.5,8.6,21.46,8.0
Padang,2024-03-01,26.3,35.2,20.53,10.5
Padang,2024-03-02,25.9,35.5,18.02,12.5
Padang,2024-03-03,26.2,11.5,15.12,7.2
Padang,2024-03-04,26.5,17.3,16.8,7.6
Padang,2024-03-05,26.3,22.1,17.47,10.0
Padang,2024-03-06,26.6,6.7,16.2,9.5
Padang,2024-03-07,26.1,152.1,12.29,10.9
Padang,2024-03-08,26.0,46.4,11.25,7.0
Padang,2024-03-09,25.8,5.3,11.7,7.0
Padang,2024-03-10,26.0,21.2,14.44,10.6
Padang,2024-03-11,27.1,1.5,19.82,9.0
Padang,2024-03-12,26.4,4.3,17.65,8.9
Padang,2024-03-13,28.1,0.0,19.94,8.4
Padang,2024-03-14,26.9,0.0,23.7,8.3
Padang,2024-03-15,27.1,0.0,23.45,9.5
Padang,2024-03-16,26.7,5.3,18.62,7.9
Padang,2024-03-17,27.1,0.1,23.73,9.1
Padang,2024-03-18,26.9,5.1,22.4,8.5
Padang,2024-03-19,26.7,2.4,19.34,6.1
Padang,2024-03-20,27.4,0.3,24.99,9.0
Padang,2024-03-21,27.4,0.3,23.0,9.6
Padang,2024-03-22,27.2,2.6,22.65,14.0
Padang,2024-03-23,27.3,4.1,19.39,8.7
Padang,2024-03-24,26.3,21.3,18.95,11.2
Padang,2024-03-25,26.5,14.7,19.19,10.6
Padang,2024-03-26,26.2,12.0,14.43,6.4
Padang,2024-03-27,25.8,4.5,17.88,6.9
Padang,2024-03-28,26.4,12.0,20.56,11.2
Padang,2024-03-29,26.9,33.6,18.9,8.5
Padang,2024-03-30,26.3,43.9,14.86,9.6
Padang,2024-03-31,26.4,5.7,17.02,7.6
Padang,2024-04-01,26.2,19.2,16.81,7.7
Padang,2024-04-02,26.5,17.6,19.61,10.4
Padang,2024-04-03,26.7,16.1,16.05,11.2
Padang,2024-04-04,26.7,4.7,17.59,9.7
Padang,2024-04-05,26.2,8.9,16.59,8.4
Padang,2024-04-06,27.0,3.2,20.77,8.6
Padang,2024-04-07,26.7,10.7,19.47,7.7
Padang,2024-04-08,26.8,2.5,16.06,6.9
Padang,2024-04-09,26.2,59.3,15.95,9.5
Padang,2024-04-10,26.4,71.1,11.82,6.0
Padang,2024-04-11,27.4,3.2,20.69,9.2
Padang,2024-04-12,26.5,9.0,18.56,8.8
Padang,2024-04-13,26.8,12.9,18.77,9.2
Padang,2024-04-14,27.0,1.2,19.16,10.0
Padang,2024-04-15,27.0,3.4,14.55,6.1
Padang,2024-04-16,26.3,16.7,16.08,7.2
Padang,2024-04-17,26.8,5.6,14.65,7.6
Padang,2024-04-18,26.3,14.0,12.81,6.2
Padang,2024-04-19,26.9,8.1,16.93,9.0
Padang,2024-04-20,26.0,19.9,9.67,9.7
Padang,2024-04-21,27.1,3.6,16.21,11.0
Padang,2024-04-22,26.9,20.3,16.86,11.0
Padang,2024-04-23,26.8,5.7,17.19,6.1
Padang,2024-04-24,27.1,11.8,16.16,7.0
Padang,2024-04-25,26.2,19.3,13.75,6.5
Padang,2024-04-26,26.8,17.3,18.94,6.9
Padang,2024-04-27,26.6,30.2,15.46,7.6
Padang,2024-04-28,27.5,2.0,20.07,10.0
Padang,2024-04-29,27.2,13.2,20.51,9.4
Padang,2024-04-30,26.5,43.0,16.35,10.2
Padang,2024-05-01,26.8,6.5,15.98,6.9
Padang,2024-05-02,27.4,5.3,19.8,9.3
Padang,2024-05-03,26.6,31.8,13.5,6.4
Padang,2024-05-04,26.7,9.6,9.95,7.2
Padang,2024-05-05,26.8,20.3,15.67,8.3
Padang,2024-05-06,27.0,5.1,18.44,8.5
Padang,2024-05-07,26.7,4.0,16.81,8.6
Padang,2024-05-08,27.2,2.2,16.83,8.1
Padang,2024-05-09,27.2,6.2,18.77,10.0
Padang,2024-05-10,27.1,22.3,16.38,6.5
Padang,2024-05-11,27.2,56.3,17.6,8.5
Padang,2024-05-12,26.5,40.4,13.04,6.9
Padang,2024-05-13,26.8,3.8,16.43,10.4
Padang,2024-05-14,26.6,11.8,15.23,6.8
Padang,2024-05-15,26.9,10.1,16.41,9.7
Padang,2024-05-16,26.3,10.0,11.69,8.2
Padang,2024-05-17,27.0,15.2,18.19,6.5
Padang,2024-05-18,26.5,18.9,15.98,6.4
Padang,2024-05-19,27.0,9.9,19.09,8.0
Padang,2024-05-20,26.2,24.9,12.65,9.4
Padang,2024-05-21,26.9,7.3,12.76,6.4
Padang,2024-05-22,27.1,5.6,13.05,11.9
Padang,2024-05-23,27.4,0.1,18.36,10.4
Padang,2024-05-24,28.2,6.2,17.96,10.1
Padang,2024-05-25,28.2,5.6,18.6,11.0
Padang,2024-05-26,28.3,0.0,11.34,12.1
Padang,2024-05-27,27.4,11.8,17.1,8.6
Padang,2024-05-28,27.4,7.6,18.71,10.5
Padang,2024-05-29,25.9,32.7,13.6,10.4
Padang,2024-05-30,27.1,10.7,18.09,13.5
Padang,2024-05-31,26.2,19.4,12.12,11.6
Padang,2024-06-01,26.6,6.2,15.39,9.4
Padang,2024-06-02,26.6,21.9,16.56,11.5
Padang,2024-06-03,27.2,5.7,19.65,11.7
Padang,2024-06-04,26.8,5.6,17.5,10.2
Padang,2024-06-05,27.4,3.0,15.04,9.3
Padang,2024-06-06,25.7,9.0,12.1,10.0
Padang,2024-06-07,26.6,3.3,17.84,7.6
Padang,2024-06-08,26.7,5.5,18.57,9.7
Padang,2024-06-09,26.1,4.7,18.94,7.9
Padang,2024-06-10,26.9,0.0,20.92,7.2
Padang,2024-06-11,26.8,1.5,15.94,7.1
Padang,2024-06-12,26.2,3.9,13.12,9.0
Padang,2024-06-13,26.2,15.9,17.76,9.9
Padang,2024-06-14,26.0,23.0,17.69,8.4
Padang,2024-06-15,26.4,1.9,19.06,9.8
Padang,2024-06-16,26.0,13.7,16.11,6.5
Padang,2024-06-17,26.3,73.2,18.32,10.7
Padang,2024-06-18,26.2,3.5,16.68,9.3
Padang,2024-06-19,26.4,4.6,17.72,8.4
Padang,2024-06-20,25.9,22.4,16.32,11.2
Padang,2024-06-21,25.0,44.2,11.22,8.6
Padang,2024-06-22,26.5,0.2,11.96,6.8
Padang,2024-06-23,26.4,2.3,18.98,10.2
Padang,2024-06-24,26.6,6.0,20.86,9.1
Padang,2024-06-25,27.0,3.5,19.47,9.1
Padang,2024-06-26,26.9,0.6,20.59,8.5
Padang,2024-06-27,26.6,5.9,19.36,9.8
Padang,2024-06-28,26.1,7.9,16.88,10.0
Padang,2024-06-29,26.1,10.3,13.58,6.9
Padang,2024-06-30,26.1,2.2,14.35,7.3
Padang,2024-07-01,26.6,3.9,14.45,6.4
Padang,2024-07-02,26.2,8.4,18.59,7.5
Padang,2024-07-03,26.9,0.0,19.57,7.9
Padang,2024-07-04,27.2,1.2,20.15,13.7
Padang,2024-07-05,26.4,1.1,19.66,8.3
Padang,2024-07-06,26.9,0.4,20.01,7.4
Padang,2024-07-07,26.9,0.3,19.07,7.6
Padang,2024-07-08,26.4,2.7,13.05,7.3
Padang,2024-07-09,27.1,2.1,15.16,9.9
Padang,2024-07-10,26.1,22.3,16.25,7.3
Padang,2024-07-11,26.3,0.4,20.02,10.0
Padang,2024-07-12,26.0,0.6,17.52,9.4
Padang,2024-07-13,26.7,1.1,20.56,8.7
Padang,2024-07-14,25.4,8.5,13.78,8.7
Padang,2024-07-15,26.2,0.8,20.76,8.8
Padang,2024-07-16,26.3,1.0,20.17,7.6
Padang,2024-07-17,26.7,1.9,19.0,7.9
Padang,2024-07-18,27.0,0.0,21.37,8.2
Padang,2024-07-19,26.9,0.0,21.49,10.0
Padang,2024-07-20,27.3,0.3,21.27,7.3
Padang,2024-07-21,27.5,0.0,20.85,8.0
Padang,2024-07-22,27.5,1.1,22.0,11.9
Padang,2024-07-23,27.3,0.8,20.89,13.8
Padang,2024-07-24,27.1,0.0,21.41,12.9
Padang,2024-07-25,26.5,0.0,22.85,10.2
Padang,2024-07-26,26.4,0.0,22.98,10.0
Padang,2024-07-27,27.0,0.0,23.26,8.4
Padang,2024-07-28,27.4,0.3,22.35,10.6
Padang,2024-07-29,26.6,1.1,19.16,10.4
Padang,2024-07-30,26.8,4.9,20.68,12.4
Padang,2024-07-31,25.7,5.5,16.44,10.5
Padang,2024-08-01,26.0,12.8,18.47,8.6
Padang,2024-08-02,26.4,22.4,18.85,11.7
Padang,2024-08-03,25.5,20.5,14.76,15.2
Padang,2024-08-04,25.7,1.8,18.23,7.2
Padang,2024-08-05,25.9,8.2,18.96,9.0
Padang,2024-08-06,25.2,26.1,17.43,9.0
Padang,2024-08-07,25.5,13.6,17.68,9.4
Padang,2024-08-08,27.1,1.2,19.28,11.0
Padang,2024-08-09,26.2,27.0,17.98,12.8
Padang,2024-08-10,25.4,22.1,15.3,10.1
Padang,2024-08-11,25.3,32.3,15.86,8.5
Padang,2024-08-12,25.9,0.1,22.28,8.7
Padang,2024-08-13,26.1,10.5,20.98,10.1
Padang,2024-08-14,26.1,6.4,20.35,8.8
Padang,2024-08-15,25.6,13.3,16.65,8.4
Padang,2024-08-16,26.1,7.8,19.04,11.4
Padang,2024-08-17,26.4,15.0,20.43,8.5
Padang,2024-08-18,26.1,8.6,18.93,9.7
Padang,2024-08-19,25.1,34.3,13.77,9.6
Padang,2024-08-20,25.1,26.8,14.73,9.6
Padang,2024-08-21,26.6,4.0,19.53,10.5
Padang,2024-08-22,25.3,7.6,15.96,11.9
Padang,2024-08-23,25.0,25.3,14.78,10.9
Padang,2024-08-24,25.2,10.2,15.75,6.3
Padang,2024-08-25,25.4,3.3,17.72,10.1
Padang,2024-08-26,25.3,5.7,18.55,11.2
Padang,2024-08-27,24.5,39.6,12.17,10.0
Padang,2024-08-28,26.7,0.3,20.59,8.2
Padang,2024-08-29,26.2,3.0,18.94,11.3
Padang,2024-08-30,25.9,1.9,12.4,8.2
Padang,2024-08-31,26.1,1.6,20.84,9.4
Padang,2024-09-01,26.7,0.5,22.72,9.0
Padang,2024-09-02,26.7,8.5,21.72,8.7
Padang,2024-09-03,26.5,0.8,21.45,11.6
Padang,2024-09-04,25.8,4.2,13.48,8.2
Padang,2024-09-05,26.1,4.9,18.06,7.6
Padang,2024-09-06,26.2,18.8,20.34,9.4
Padang,2024-09-07,25.6,30.4,17.58,10.4
Padang,2024-09-08,25.3,9.8,17.75,9.6
Padang,2024-09-09,25.2,17.1,13.41,7.8
Padang,2024-09-10,26.4,0.4,16.01,7.4
Padang,2024-09-11,26.7,0.5,18.16,8.9
Padang,2024-09-12,25.8,4.0,14.25,7.9
Padang,2024-09-13,26.2,3.2,23.16,10.5
Padang,2024-09-14,26.2,7.0,22.63,11.6
Padang,2024-09-15,25.6,4.0,20.53,7.6
Padang,2024-09-16,25.8,6.0,18.23,8.0
Padang,2024-09-17,25.1,35.2,11.34,10.5
Padang,2024-09-18,26.0,5.7,20.73,13.9
Padang,2024-09-19,26.2,1.8,23.62,11.4
Padang,2024-09-20,26.4,0.7,22.92,9.0
Padang,2024-09-21,26.8,0.1,15.37,6.3
Padang,2024-09-22,26.9,0.0,24.52,6.8
Padang,2024-09-23,26.8,0.0,24.11,9.4
Padang,2024-09-24,27.2,0.3,20.9,9.3
Padang,2024-09-25,26.2,4.5,19.56,9.2
Padang,2024-09-26,26.5,0.3,14.9,9.9
Padang,2024-09-27,27.2,11.0,19.25,9.3
Padang,2024-09-28,25.9,25.8,16.03,9.7
Padang,2024-09-29,25.2,30.6,15.38,7.4
Padang,2024-09-30,25.6,23.5,16.93,9.1
Padang,2024-10-01,25.5,2.7,13.87,8.8
Padang,2024-10-02,25.8,30.6,18.5,10.4
Padang,2024-10-03,25.4,14.2,18.32,9.4
Padang,2024-10-04,25.1,26.7,13.76,11.9
Padang,2024-10-05,25.3,36.6,14.79,12.1
Padang,2024-10-06,25.8,18.6,16.68,8.0
Padang,2024-10-07,25.6,16.9,16.58,7.6
Padang,2024-10-08,26.0,10.4,22.02,7.7
Padang,2024-10-09,25.8,14.8,18.89,10.1
Padang,2024-10-10,25.5,32.9,15.39,8.1
Padang,2024-10-11,26.1,8.3,18.45,12.1
Padang,2024-10-12,25.3,121.8,13.3,9.1
Padang,2024-10-13,25.7,35.0,18.09,7.9
Padang,2024-10-14,26.8,13.1,23.8,8.1
Padang,2024-10-15,26.7,0.3,20.72,9.6
Padang,2024-10-16,27.3,0.6,13.66,14.2
Padang,2024-10-17,27.1,0.4,21.92,11.6
Padang,2024-10-18,26.8,0.3,24.19,10.0
Padang,2024-10-19,26.9,0.0,25.34,6.9
Padang,2024-10-20,26.6,0.6,24.98,7.1
