Wilayah,Tanggal,Suhu_Rata2_C,Curah_Hujan_mm,Radiasi_Matahari_MJm2,Kecepatan_Angin_Max_kmh
Padang,2020-04-25,26.6,1.8,15.57,9.2
Padang,2020-04-26,26.1,17.9,13.43,8.0
Padang,2020-04-27,26.2,9.9,10.22,5.4
Padang,2020-04-28,26.1,9.5,12.27,7.2
Padang,2020-04-29,26.4,6.4,17.99,7.2
Padang,2020-04-30,26.1,23.4,12.92,5.1
Padang,2020-05-01,25.0,58.9,4.29,6.1
Padang,2020-05-02,26.0,36.5,9.99,7.9
Padang,2020-05-03,26.2,13.2,8.86,4.9
Padang,2020-05-04,27.4,0.5,22.06,7.9
Padang,2020-05-05,27.1,7.9,20.04,10.4
Padang,2020-05-06,27.2,1.3,18.38,7.3
Padang,2020-05-07,26.7,30.2,16.72,7.9
Padang,2020-05-08,27.3,5.1,8.24,10.5
Padang,2020-05-09,27.0,1.7,13.73,5.2
Padang,2020-05-10,27.2,3.1,19.9,8.1
Padang,2020-05-11,27.4,0.0,22.65,7.9
Padang,2020-05-12,27.4,1.5,21.37,8.9
Padang,2020-05-13,27.5,2.4,15.61,7.9
Padang,2020-05-14,27.4,0.1,18.91,8.8
Padang,2020-05-15,27.7,7.1,18.8,9.4
Padang,2020-05-16,27.3,16.5,18.64,9.0
Padang,2020-05-17,25.8,30.7,7.13,6.9
Padang,2020-05-18,27.7,0.1,12.93,8.5
Padang,2020-05-19,28.5,10.0,19.22,14.8
Padang,2020-05-20,27.8,5.1,11.07,9.8
Padang,2020-05-21,28.5,0.3,19.36,11.6
Padang,2020-05-22,27.8,0.0,20.71,8.7
Padang,2020-05-23,27.5,0.1,15.16,9.2
Padang,2020-05-24,27.8,0.0,20.66,7.4
Padang,2020-05-25,27.7,0.2,19.64,10.1
Padang,2020-05-26,27.4,0.2,18.27,11.9
Padang,2020-05-27,27.1,0.0,12.04,5.8
Padang,2020-05-28,27.2,2.3,19.4,9.2
Padang,2020-05-29,27.3,0.1,18.69,9.4
Padang,2020-05-30,26.8,8.3,14.49,7.6
Padang,2020-05-31,26.8,2.2,17.72,7.3
Padang,2020-06-01,26.9,0.2,15.17,6.9
Padang,2020-06-02,26.9,2.5,14.81,7.1
